School_Name_ZhT;School_Name;City;State;lat;lng;Univ_Py;Country;Country_ZhT;Notes
;Blue Mountain College;Blue Mountain;Mississippi;34.6739;-89.0262;;United States;美國;
;Bluefield State College;Bluefield;West Virginia;37.2608;-81.2143;;United States;美國;
;Bluefield University;Bluefield;West Virginia;37.2608;-81.2143;;United States;美國;
;Bluffton University;Bluffton;Ohio;40.8912;-83.8887;;United States;美國;
賓夕法尼亞布倫茂大學;Blummer University of Pennsylvania;Doylestown;Pennsylvania;40.31011;-75.12989;;United States;美國;
;Bob Jones University;Greenville;North Carolina;35.5943;-77.376;;United States;美國;
;Boise Bible College;Boise;Idaho;43.6005;-116.2308;;United States;美國;
;Boise State University;Boise;Idaho;43.6005;-116.2308;;United States;美國;
;Boricua College;New York City;New York;40.6943;-73.9249;;United States;美國;
;Boston Architectural College;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
波士頓兒科醫院;Boston Children's Hospital;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
波士頓市醫院;Boston City Hospital;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
波士頓學院;Boston College;Chestnut Hill;Massachusetts;42.33626257686661;-71.16864470369713;;United States;美國;
波士頓漁業研究所;Boston Fisheries Research Institute;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
;Boston Graduate School of Psychoanalysis;Brookline;Massachusetts;42.33176;-71.12116;;United States;美國;
波士頓博物館美術學院;Boston Museum of Fine Arts;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
波士頓昆西學校;Boston Quincy College;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
波士頓大學;Boston University;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
波士頓大學附屬醫院;Boston University Hospital;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
鮑登學院;Bowdoin College;Brunswick;Maine;43.91452;-69.96533;;United States;美國;
;Bowie State University;Bowie;Maryland;38.9549;-76.7406;;United States;美國;
;Bowling Green State University;Bowling Green;Kentucky;36.9716;-86.4378;;United States;美國;
;Bradley University;Peoria;Illinois;40.752;-89.6154;;United States;美國;
;Brandeis University;Waltham;Massachusetts;42.3889;-71.2423;;United States;美國;
;Brazosport College;Lake Jackson;Texas;29.0516;-95.4521;;United States;美國;
;Brenau University;Gainesville;Florida;29.6804;-82.3459;;United States;美國;
;Brescia University;Owensboro;Kentucky;37.7575;-87.1172;;United States;美國;
;Brevard College;Brevard;North Carolina;35.2438;-82.7265;;United States;美國;
;Brewton-Parker College;Mount Vernon;Ohio;40.3854;-82.4737;;United States;美國;
;Briar Cliff University;Sioux City;Iowa;42.4959;-96.3901;;United States;美國;
;Bridgewater College;Bridgewater;Massachusetts;41.99038;-70.97504;;United States;美國;
;Bridgewater State University;Bridgewater;Massachusetts;41.99038;-70.97504;;United States;美國;
;Brigham Young University;Provo;Utah;40.2457;-111.6457;;United States;美國;
;Brigham Young University-Hawaii;Laie;Hawaii;21.6442;-157.9279;;United States;美國;
;Brigham Young University-Idaho;Rexburg;Idaho;43.8226;-111.7919;;United States;美國;
布魯克醫學中心;Brooke Medical Center;San Antonio;Texas;29.4632;-98.5238;;United States;美國;
